!  
! R    D    M    P
100
1.0292005271944284 0.00017182801027592818 1.2222951205262022e-21 -0.022536967986440226
1.0901844923851278 0.00016020501013064338 0.00014269899340128492 -0.022533177410963647
1.1547819846894585 0.00016328912082504195 0.00030835954737740807 -0.022521889893031406
1.2232071190499318 0.00014200109821234022 0.0004933216441449457 -0.022502417652636605
1.2956866975170196 0.00012258238568035708 0.000683797847721425 -0.02247543240864846
1.3724609610075622 0.00010705694112080803 0.0008803461642970988 -0.022441624698357154
1.453784385607662 9.44711994134898e-05 0.0010854094976744048 -0.022401543543630324
1.5399265260594925 8.688180432463992e-05 0.0013049896678387276 -0.02235562060208213
1.6311729092278389 8.360060921311673e-05 0.0015506377480912956 -0.022303924939704154
1.727825980507864 7.164981892222503e-05 0.0018156225176421844 -0.022246115117531683
1.8302061063110566 6.303858623228415e-05 0.002089052010980895 -0.02218287876220421
1.9386526359522078 5.489329853934523e-05 0.002373509717937489 -0.02211463055314213
2.0535250264571467 5.066923300409263e-05 0.0026766363305611995 -0.022041847129609327
2.175204034019523 4.935571842553876e-05 0.003018533085461793 -0.02196448416564144
2.304092976055846 4.4011043458187735e-05 0.003396866856277786 -0.021881993883591862
2.440619068041981 4.2834859671798487e-05 0.0038161676476247642 -0.021794658219142646
2.5852348395621916 4.04362919454056e-05 0.004293575270546948 -0.021701877605335356
2.738419634264362 3.681705076298779e-05 0.004819423549355293 -0.021603345167122933
2.9006811986931544 2.9733048406079026e-05 0.005355957252552941 -0.02149914639434187
3.072557365267448 3.20569781484237e-05 0.0059529530464334755 -0.021390647551564078
3.25461783498046 2.6483065058840765e-05 0.006620041517034022 -0.021275965005286838
3.4474660657314944 2.3971431358326074e-05 0.007305166256177381 -0.021156340028903535
3.651741272548378 2.193687155335219e-05 0.008046302050242328 -0.021031871837545055
3.868120546330523 2.0906923878410254e-05 0.008869305930275668 -0.02090252236028403
4.097321098135416 1.790992810316525e-05 0.00975279792851332 -0.020767743404743744
4.3401026364474395 1.6885902837605785e-05 0.010696655253753613 -0.020628330381884215
4.597269885308724 1.55451178066255e-05 0.011741475666632523 -0.020483838092936125
4.869675251658632 1.3401095990052232e-05 0.012847724477561707 -0.02033412663358171
5.158221650723058 1.3488933384350831e-05 0.014074563356468563 -0.020179923374223696
5.463865498818544 1.2259967888285001e-05 0.015466693529456533 -0.02001981500455465
5.7876198834912085 1.0733319541186983e-05 0.016942585361865554 -0.019853844247466213
6.13055792149821 9.660859761380451e-06 0.018499646688025097 -0.019682601311414492
6.493816315762115 9.416604635403461e-06 0.020234710659439867 -0.019506236895452056
6.878599123088078 7.980123309412972e-06 0.022107613844172466 -0.019323660766441045
7.2861817451322795 7.342688395815372e-06 0.02407284230854039 -0.019136010491018277
7.717915155850127 6.611266975329352e-06 0.026198537876557886 -0.018943074694968698
